scenario,time,node,availability
a,1,AT,1000000.0
a,1,BE,1000000.0
a,1,BG,1000000.0
a,1,CH,1000000.0
a,1,CY,1000000.0
a,1,CZ,1000000.0
a,1,DE,1000000.0
a,1,DK,1000000.0
a,1,EE,1000000.0
a,1,EL,1000000.0
a,1,ES,1000000.0
a,1,FI,1000000.0
a,1,FR,1000000.0
a,1,HR,1000000.0
a,1,HU,1000000.0
a,1,IE,1000000.0
a,1,IT,1000000.0
a,1,LT,1000000.0
a,1,LU,1000000.0
a,1,LV,1000000.0
a,1,ME,1000000.0
a,1,MK,1000000.0
a,1,MT,1000000.0
a,1,NL,1000000.0
a,1,NO,1000000.0
a,1,PL,1000000.0
a,1,PT,1000000.0
a,1,RO,1000000.0
a,1,RS,1000000.0
a,1,SE,1000000.0
a,1,SI,1000000.0
a,1,SK,1000000.0
a,1,UK,1000000.0
