capacity,capex
0.0,0.0
0.01,0.0
0.01,1116156.743
0.5165034,1015610.425
1.1413188,891577.9151
1.9779198,788098.5061
2.9277672,731195.6051
3.7645536,699306.8327
5.3936136,652536.6673
7.489422,612959.7198
9.7719672,578733.5429
11.9707458,556953.2478
13.374393,548743.2242
15.6877164,531828.9396
17.4779634,517809.2723
19.5303264,510714.1961
21.5825664,501834.4694
23.634876,493955.8879
25.6871796,486004.7592
27.7395522,479040.268
29.7920454,473831.4081
31.844547,468738.6235
33.8970456,463602.3109
35.9495748,458915.7881
38.0021172,454417.887
40.0546812,450224.6821
42.1072254,445755.8004
44.1598452,442375.12
46.2124338,438544.6489
48.265026,434772.2163
50.3176932,432073.4755
52.3703334,428997.4912
54.4230204,426588.9378
56.475639,423193.7478
58.5283578,421249.4939
59.9571948,419660.7198
1000000000000.0,375851.8288
