scenario,time,node,importPriceCarrier
a,0,AL01,120.0
a,0,ALO2,120.0
a,0,ALO3,120.0
a,0,AT11,120.0
a,0,AT12,120.0
a,0,AT13,120.0
a,0,AT21,120.0
a,0,AT22,120.0
a,0,AT31,120.0
a,0,AT32,120.0
a,0,AT33,120.0
a,0,AT34,120.0
a,0,BE10,120.0
a,0,BE21,120.0
a,0,BE22,120.0
a,0,BE23,120.0
a,0,BE24,120.0
a,0,BE25,120.0
a,0,BE31,120.0
a,0,BE32,120.0
a,0,BE33,120.0
a,0,BE34,120.0
a,0,BE35,120.0
a,0,BG31,120.0
a,0,BG32,120.0
a,0,BG33,120.0
a,0,BG34,120.0
a,0,BG41,120.0
a,0,BG42,120.0
a,0,CH04,120.0
a,0,CH05,120.0
a,0,CH06,120.0
a,0,CH07,120.0
a,0,CHO1,120.0
a,0,CHO2,120.0
a,0,CHO3,120.0
a,0,CYOO,120.0
a,0,CZ01,120.0
a,0,CZ02,120.0
a,0,CZ03,120.0
a,0,CZ04,120.0
a,0,CZ06,120.0
a,0,CZ07,120.0
a,0,CZ08,120.0
a,0,CZO,120.0
a,0,DE11,120.0
a,0,DE12,120.0
a,0,DE13,120.0
a,0,DE14,120.0
a,0,DE21,120.0
a,0,DE22,120.0
a,0,DE23,120.0
a,0,DE24,120.0
a,0,DE25,120.0
a,0,DE26,120.0
a,0,DE27,120.0
a,0,DE30,120.0
a,0,DE40,120.0
a,0,DE50,120.0
a,0,DE60,120.0
a,0,DE71,120.0
a,0,DE72,120.0
a,0,DE73,120.0
a,0,DE80,120.0
a,0,DE91,120.0
a,0,DE92,120.0
a,0,DE93,120.0
a,0,DE94,120.0
a,0,DEA1,120.0
a,0,DEA2,120.0
a,0,DEA3,120.0
a,0,DEA4,120.0
a,0,DEA5,120.0
a,0,DEB1,120.0
a,0,DEB2,120.0
a,0,DEB3,120.0
a,0,DECO,120.0
a,0,DED2,120.0
a,0,DED4,120.0
a,0,DED5,120.0
a,0,DEEO,120.0
a,0,DEFO,120.0
a,0,DEGO,120.0
a,0,DK01,120.0
a,0,DK02,120.0
a,0,DK03,120.0
a,0,DK04,120.0
a,0,DK05,120.0
a,0,EE00,120.0
a,0,EL30,120.0
a,0,EL41,120.0
a,0,EL42,120.0
a,0,EL43,120.0
a,0,EL51,120.0
a,0,EL52,120.0
a,0,EL53,120.0
a,0,EL54,120.0
a,0,EL61,120.0
a,0,EL62,120.0
a,0,EL63,120.0
a,0,EL64,120.0
a,0,EL65,120.0
a,0,ES11,120.0
a,0,ES12,120.0
a,0,ES13,120.0
a,0,ES21,120.0
a,0,ES22,120.0
a,0,ES23,120.0
a,0,ES24,120.0
a,0,ES30,120.0
a,0,ES41,120.0
a,0,ES42,120.0
a,0,ES43,120.0
a,0,ES51,120.0
a,0,ES52,120.0
a,0,ES53,120.0
a,0,ES61,120.0
a,0,ES62,120.0
a,0,ES63,120.0
a,0,ES64,120.0
a,0,ES70,120.0
a,0,F119,120.0
a,0,FI1B,120.0
a,0,FI1C,120.0
a,0,FI1D,120.0
a,0,FI20,120.0
a,0,FR10,120.0
a,0,FRBO,120.0
a,0,FRC1,120.0
a,0,FRC2,120.0
a,0,FRD1,120.0
a,0,FRD2,120.0
a,0,FRE1,120.0
a,0,FRE2,120.0
a,0,FRF1,120.0
a,0,FRF2,120.0
a,0,FRF3,120.0
a,0,FRGO,120.0
a,0,FRHO,120.0
a,0,FRI1,120.0
a,0,FRI2,120.0
a,0,FRI3,120.0
a,0,FRJ1,120.0
a,0,FRJ2,120.0
a,0,FRK1,120.0
a,0,FRK2,120.0
a,0,FRLO,120.0
a,0,FRMO,120.0
a,0,FRY1,120.0
a,0,FRY2,120.0
a,0,FRY3,120.0
a,0,FRY4,120.0
a,0,FRY5,120.0
a,0,HR04,120.0
a,0,HRO3,120.0
a,0,HU11,120.0
a,0,HU12,120.0
a,0,HU21,120.0
a,0,HU22,120.0
a,0,HU23,120.0
a,0,HU31,120.0
a,0,HU32,120.0
a,0,HU33,120.0
a,0,IE04,120.0
a,0,IE05,120.0
a,0,IE06,120.0
a,0,ISOO,120.0
a,0,IT13,120.0
a,0,IT14,120.0
a,0,ITC1,120.0
a,0,ITC2,120.0
a,0,ITC3,120.0
a,0,ITC4,120.0
a,0,ITF1,120.0
a,0,ITF2,120.0
a,0,ITF3,120.0
a,0,ITF4,120.0
a,0,ITF5,120.0
a,0,ITF6,120.0
a,0,ITG1,120.0
a,0,ITG2,120.0
a,0,ITH1,120.0
a,0,ITH2,120.0
a,0,ITH3,120.0
a,0,ITH4,120.0
a,0,ITH5,120.0
a,0,ITI1,120.0
a,0,ITI2,120.0
a,0,LIOO,120.0
a,0,LT01,120.0
a,0,LTO2,120.0
a,0,LUOO,120.0
a,0,LVOO,120.0
a,0,ME00,120.0
a,0,MKOO,120.0
a,0,MTOO,120.0
a,0,NL11,120.0
a,0,NL12,120.0
a,0,NL13,120.0
a,0,NL21,120.0
a,0,NL22,120.0
a,0,NL23,120.0
a,0,NL31,120.0
a,0,NL32,120.0
a,0,NL33,120.0
a,0,NL34,120.0
a,0,NL41,120.0
a,0,NL42,120.0
a,0,NO01,120.0
a,0,NO03,120.0
a,0,NO04,120.0
a,0,NO05,120.0
a,0,NO06,120.0
a,0,NO07,120.0
a,0,NOO2,120.0
a,0,PL21,120.0
a,0,PL22,120.0
a,0,PL41,120.0
a,0,PL42,120.0
a,0,PL43,120.0
a,0,PL51,120.0
a,0,PL52,120.0
a,0,PL61,120.0
a,0,PL62,120.0
a,0,PL63,120.0
a,0,PL71,120.0
a,0,PL72,120.0
a,0,PL81,120.0
a,0,PL82,120.0
a,0,PL84,120.0
a,0,PL91,120.0
a,0,PL92,120.0
a,0,PT11,120.0
a,0,PT15,120.0
a,0,PT16,120.0
a,0,PT17,120.0
a,0,PT18,120.0
a,0,PT20,120.0
a,0,PT30,120.0
a,0,R042,120.0
a,0,RO11,120.0
a,0,RO12,120.0
a,0,RO21,120.0
a,0,RO22,120.0
a,0,RO31,120.0
a,0,RO32,120.0
a,0,RO41,120.0
a,0,RS11,120.0
a,0,RS12,120.0
a,0,RS21,120.0
a,0,RS22,120.0
a,0,SE11,120.0
a,0,SE12,120.0
a,0,SE21,120.0
a,0,SE22,120.0
a,0,SE23,120.0
a,0,SE31,120.0
a,0,SE32,120.0
a,0,SE33,120.0
a,0,SI03,120.0
a,0,SI04,120.0
a,0,SK01,120.0
a,0,SK03,120.0
a,0,SK04,120.0
a,0,SKO2,120.0
a,0,UK13,120.0
a,0,UKC1,120.0
a,0,UKC2,120.0
a,0,UKD1,120.0
a,0,UKD3,120.0
a,0,UKD4,120.0
a,0,UKD6,120.0
a,0,UKD7,120.0
a,0,UKE1,120.0
a,0,UKE2,120.0
a,0,UKE3,120.0
a,0,UKE4,120.0
a,0,UKF1,120.0
a,0,UKF2,120.0
a,0,UKF3,120.0
a,0,UKG1,120.0
a,0,UKG2,120.0
a,0,UKG3,120.0
a,0,UKH1,120.0
a,0,UKH2,120.0
a,0,UKH3,120.0
a,0,UKI4,120.0
a,0,UKI6,120.0
a,0,UKIS,120.0
a,0,UKIZ,120.0
a,0,UKJ1,120.0
a,0,UKJ2,120.0
a,0,UKJ3,120.0
a,0,UKJ4,120.0
a,0,UKK1,120.0
a,0,UKK2,120.0
a,0,UKK3,120.0
a,0,UKK4,120.0
a,0,UKL1,120.0
a,0,UKL2,120.0
a,0,UKM5,120.0
a,0,UKM6,120.0
a,0,UKM7,120.0
a,0,UKM8,120.0
a,0,UKM9,120.0
a,0,UKNO,120.0
