edge,distance
AT-CH,453.6972189390188
AT-CZ,255.4670495934849
AT-DE,474.5969264386361
AT-HU,402.2556618433108
AT-IT,543.0103186128234
AT-SI,170.35958789572155
AT-SK,417.69792800060645
BE-DE,405.4003191537964
BE-FR,475.5706987367916
BE-LU,141.119393564457
BE-NL,196.0809453491084
BE-UK,551.3167400415118
BG-EL,434.59447085760354
BG-MK,324.8020114869984
BG-RO,349.8737667573836
BG-RS,400.9393935010628
CH-AT,453.6972189390188
CH-DE,484.425901877676
CH-FR,437.6078141406984
CH-IT,570.5296870356532
CZ-AT,255.4670495934849
CZ-DE,382.05304187376913
CZ-PL,392.6365395375216
CZ-SK,324.55107323809614
DE-AT,474.5969264386361
DE-BE,405.4003191537964
DE-CH,484.425901877676
DE-CZ,382.05304187376913
DE-DK,555.5664596832676
DE-FR,760.7569113461934
DE-LU,337.01999562340524
DE-NL,354.1605838330969
DE-NO,1149.9169116218789
DE-PL,637.2978656617328
DE-SE,1094.9323999781905
DE-UK,888.8502766923123
DK-DE,555.5664596832676
DK-NL,479.66126066006166
DK-NO,596.8492102172878
DK-SE,594.8548970337223
DK-UK,798.7580921011066
EE-FI,655.8486164794425
EE-LV,226.36694658231383
EL-BG,434.59447085760354
EL-IT,923.6381740622244
EL-MK,247.5147085447652
ES-FR,854.3837531045407
ES-PT,392.3492695558385
FI-EE,655.8486164794425
FI-NO,927.9415930757708
FI-SE,745.8870288347956
FR-BE,475.5706987367916
FR-CH,437.6078141406984
FR-DE,760.7569113461934
FR-ES,854.3837531045407
FR-IT,897.9628033955528
FR-LU,440.95209368479
FR-UK,814.588829501731
HR-HU,444.3486309217122
HR-ME,252.257365212594
HR-RS,352.07402648448806
HR-SI,295.65396154457267
HU-AT,402.2556618433108
HU-HR,444.3486309217122
HU-RO,457.85990393241457
HU-RS,345.8078173740437
HU-SI,371.2634250084435
HU-SK,172.80660231889223
IE-UK,403.7221317057068
IT-AT,543.0103186128234
IT-CH,570.5296870356532
IT-EL,923.6381740622244
IT-FR,897.9628033955528
IT-ME,553.0718530109809
IT-MT,790.0114664737466
IT-SI,408.832496717176
LT-LV,217.265494568282
LT-PL,468.1934970351467
LT-SE,816.8725191686893
LU-BE,141.119393564457
LU-DE,337.01999562340524
LU-FR,440.95209368479
LV-EE,226.36694658231383
LV-LT,217.265494568282
ME-HR,252.257365212594
ME-IT,553.0718530109809
ME-RS,206.14676739886065
MK-BG,324.8020114869984
MK-EL,247.5147085447652
MK-RS,305.6483298318515
MT-IT,790.0114664737466
NL-BE,196.0809453491084
NL-DE,354.1605838330969
NL-DK,479.66126066006166
NL-NO,1036.3287391966892
NL-UK,535.7380341332879
NO-DE,1149.9169116218789
NO-DK,596.8492102172878
NO-FI,927.9415930757708
NO-NL,1036.3287391966892
NO-SE,290.3740336187104
NO-UK,1133.3076619144513
PL-CZ,392.6365395375216
PL-DE,637.2978656617328
PL-LT,468.1934970351467
PL-SE,998.197894694735
PL-SK,383.6307310526622
PT-ES,392.3492695558385
RO-BG,349.8737667573836
RO-HU,457.85990393241457
RO-RS,379.6637440314785
RS-BG,400.9393935010628
RS-HR,352.07402648448806
RS-HU,345.8078173740437
RS-ME,206.14676739886065
RS-MK,305.6483298318515
RS-RO,379.6637440314785
SE-DE,1094.9323999781905
SE-DK,594.8548970337223
SE-FI,745.8870288347956
SE-LT,816.8725191686893
SE-NO,290.3740336187104
SE-PL,998.197894694735
SI-AT,170.35958789572155
SI-HR,295.65396154457267
SI-HU,371.2634250084435
SI-IT,408.832496717176
SK-AT,417.69792800060645
SK-CZ,324.55107323809614
SK-HU,172.80660231889223
SK-PL,383.6307310526622
UK-BE,551.3167400415118
UK-DE,888.8502766923123
UK-DK,798.7580921011066
UK-FR,814.588829501731
UK-IE,403.7221317057068
UK-NL,535.7380341332879
UK-NO,1133.3076619144513
