node,demand,capacity_existing,difference
AT31,0.0689110458510527,0.0622146118721461,0.006696433978906603
BE21,0.0993670452069975,,
BE32,0.0496835226034987,0.045662100456621,0.004021422146877701
BG33,0.0503045666360424,,
BG42,0.055893962928936,0.0513698630136986,0.004524099915237403
CZ08,0.0434730822780613,,
DEA2,0.0681492732407345,0.0399543378995433,0.028194935341191198
DEB3,0.1086827056951534,,
DEE0,0.1608504044288272,,
DEF0,0.0993670452069975,0.091324200913242,0.0080428442937555
EE00,0.0248417613017493,0.0205479452054794,0.004293816096269901
EL64,0.0204944530739431,,
ES12,0.0248417613017493,,
ES42,0.0248417613017493,,
ES61,0.0496835226034987,0.045662100456621,0.004021422146877701
ES61,0.0496835226034987,0.0228310502283105,0.026852472375188202
FR10,0.0545276660573398,0.0502283105022831,0.0042993555550567
FRD2,0.0496835226034987,0.0462328767123287,0.003450645891170001
FRD2,0.0496835226034987,0.045662100456621,0.004021422146877701
FRE1,0.0111787925857871,,
FRF1,0.0414028940999801,0.0285388127853881,0.012864081314592005
HR02,0.0616572515509418,,
HU21,0.0478203905058675,0.0583333333333333,-0.010512942827465802
LT02,0.1387412368702702,0.1275114155251141,0.011229821345156099
NL34,0.2359967323666191,0.2168949771689497,0.019101755197669407
PL21,0.024028193619117,,
PL42,0.0680043215635389,,
PL52,0.0745252839052481,,
PL61,0.0340332129833965,,
SK02,0.1258235209933606,0.0958333333333333,0.029990187660027312
SK04,0.0503045666360424,,
