technology,0,1,2,3,4,5,6,7,8,9,10,11,12,13
ASU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052280195479481,0.5168311953433571
DAC,0.0,0.0,1.0074938951511543,1.5431781141000547,1.7764634568577176,2.0097487996153713,2.252278511247977,2.4875060826391753,2.721682633921123,2.958926661932153,3.1920708314137243,5.481534822182317,5.803101487180158,5.8060953378046625
SMR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMR_CCS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
anaerobic_digestion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomass_to_coal_conversion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomethane_conversion,2490.0,2490.0,2490.0,2490.0,2490.0,2490.0,2490.0,2490.0,2490.0,2490.0,2490.0,2490.0,2490.0,5010.0
carbon_liquefication,0.0,0.0,2.0567315947755453,3.1104721249959457,3.5652726090109237,4.020073093025883,4.4709176003434505,4.924946293131678,5.3794728250285795,5.832603182556109,6.287603800706516,10.87092150202895,11.694836604263875,13.006017774347624
carbon_pipeline,0.0,0.0,0.0,0.03540705732227865,0.052689584777122475,0.0699721122319651,0.1894297545296739,0.5940938991371286,0.9993775279537663,1.4142876281358088,1.8219170377510143,6.7004904827576155,7.748311684712636,7.903726324652604
carbon_removal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063358720938798,0.0372888850155242,0.0372888850155242
carbon_storage,0.0,0.0,1.8562002642849296,2.8072010928088407,3.217658529632359,3.6281159664558595,4.035003134309965,4.444764029551339,4.854974224588293,5.263924372256888,5.67456243013763,9.811006655581126,10.55459003534815,11.737931041348732
cement_plant,24.453673363973422,24.453673363973422,24.453673363973422,24.453673363973422,24.453673363973422,24.453673363973422,24.453673363973422,24.453673363973422,24.453673363973422,24.453673363973422,24.453673363973422,24.453673363973422,24.453673363973422,24.453673363973422
cement_plant_oxy_combustion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14450188102334122,1.428515697267595
cement_plant_post_comb,0.0,0.0,1.0492376996243893,1.5672940108958895,1.7888091521532041,2.0103242934105094,2.2186390890954715,2.4374402104925004,2.6577901911074537,2.8736765206239516,3.09553296929279,5.383050807752746,5.710208035549516,5.734538684701357
electrolysis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gasification,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gasification_CCS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydrogen_pipeline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pv_ground,0.803303964946884,0.803303964946884,0.803303964946884,0.803303964946884,0.803303964946884,0.803303964946884,0.803303964946884,0.803303964946884,0.803303964946884,0.803303964946884,0.803303964946884,0.803303964946884,1.1347578392930329,1.1347578392930329
wind_offshore,0.474714195215437,1.1624628863301962,1.1624628863301962,1.1624628863301962,1.1624628863301962,1.1624628863301962,1.1624628863301962,1.1624628863301962,1.1624628863301962,1.1624628863301962,1.1624628863301962,1.1624628863301962,1.1624628863301962,1.1624628863301962
wind_onshore,6.396230563006331,6.784106918564061,6.784106918564062,6.784106918564062,6.784106918564062,6.784106918564062,6.784106918564062,6.784106918564062,6.784106918564062,6.784106918564062,6.784106918564062,6.784106918564062,6.878812010456665,8.143172038276324
