carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
biomethane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_liquid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
direct_reduced_iron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dry_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
electricity,14971.715311745884,8387.810992623028,8531.718232285395,8675.625471947755,8675.625471947755,8675.625471947757,8675.625471947757,8675.625471947755,8675.625471947755,8675.625471947755,8675.625471947757,8675.625471947757,8675.625471947755,8675.625471947757
hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iron_ore,257777.59946855996,259522.86115010164,261268.12283164327,263013.3845131849,263013.3845131849,263013.3845131849,263013.3845131849,263013.3845131849,263013.3845131849,263013.3845131849,263013.3845131849,263013.3845131849,263013.3845131849,263013.3845131849
limestone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas,483871.29904053966,487146.65315521375,490422.0072698878,493697.3613845618,448346.5852837596,448249.6852458599,448249.6852458599,448249.6852458599,448249.6852458599,448249.6852458599,448249.6852458599,448249.6852458599,448249.6852458599,448249.6852458599
nitrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oxygen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scrap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
steel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wet_biomass,0.0,0.0,0.0,0.0,19717.610433106805,19717.610433106805,19717.610433106805,19717.61043310681,19717.610433106805,19717.610433106805,19717.61043310681,19717.61043310681,19717.61043310681,19717.61043310681
